trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_541173_b_27473_tn_17,19:27:00,19:27:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:29:39,19:29:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_17,19:32:00,19:32:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:01:00,20:01:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:03:03,20:03:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:04:06,20:04:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:07:00,20:07:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:11:19,20:11:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:15:00,20:15:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:17:39,20:17:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_18,20:20:00,20:20:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,20:49:00,20:49:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,20:51:03,20:51:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,20:52:06,20:52:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,20:55:00,20:55:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,20:59:19,20:59:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,21:03:00,21:03:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,21:05:39,21:05:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_19,21:08:00,21:08:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:13:00,07:13:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:15:03,07:15:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:16:06,07:16:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:19:00,07:19:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:23:19,07:23:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:27:00,07:27:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:29:39,07:29:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_2,07:32:00,07:32:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:37:00,21:37:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:39:03,21:39:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:40:06,21:40:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:43:00,21:43:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:47:19,21:47:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:51:00,21:51:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:53:39,21:53:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_20,21:56:00,21:56:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:25:00,22:25:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:27:03,22:27:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:28:06,22:28:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:31:00,22:31:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:35:19,22:35:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:39:00,22:39:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:41:39,22:41:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_21,22:44:00,22:44:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:13:00,23:13:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:15:03,23:15:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:16:06,23:16:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:19:00,23:19:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:23:19,23:23:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:27:00,23:27:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:29:39,23:29:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_22,23:32:00,23:32:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:01:00,08:01:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:03:03,08:03:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:04:06,08:04:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:07:00,08:07:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:11:19,08:11:19,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:15:00,08:15:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:17:39,08:17:39,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_3,08:20:00,08:20:00,2506399,8,,0,0,3046.73929464,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,08:49:00,08:49:00,2506397,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,08:51:03,08:51:03,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,08:52:06,08:52:06,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,,,,,,,,
t_541173_b_27473_tn_4,08:55:00,08:55:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,,,,,,,,
