stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
"Food Lion (Perryville, 5301 Pulaski  Hwy/on US 40)_Food Lion (Perryville, 5301 Pulaski  Hwy/on US 40)_39.572118_-76.066182",,"Food Lion (Perryville, 5301 Pulaski  Hwy/on US 40)",,39.572118,-76.066182,,0,,,
Hollywood Casino (1201 Chesapeake Overlook Dr)_Hollywood Casino (1201 Chesapeake Overlook Dr)_39.596325_-76.071653,,Hollywood Casino (1201 Chesapeake Overlook Dr),,39.596325,-76.071653,,0,,,
Pilot Travel Center (31 Heather Ln)_Pilot Travel Center (31 Heather Ln)_39.588432_-76.065064,,Pilot Travel Center (31 Heather Ln),,39.588432,-76.065064,,0,,,
White Horse Apartments  (Pulaski Hwy/US 40)_White Horse Apartments  (Pulaski Hwy/US 40)_39.569167_-76.071679,,White Horse Apartments  (Pulaski Hwy/US 40),,39.569167,-76.071679,,0,,,
Royal Farms (803 Pulaski Hwy/US 40)_Royal Farms (803 Pulaski Hwy/US 40)_39.555611_-76.099802,,Royal Farms (803 Pulaski Hwy/US 40),,39.555611,-76.099802,,0,,,
J&K Pawn Shop (2145 Pulaski Hwy/US 40)_J&K Pawn Shop (2145 Pulaski Hwy/US 40)_39.525962_-76.135099,,J&K Pawn Shop (2145 Pulaski Hwy/US 40),,39.525962,-76.135099,,0,,,
Family Wash Day Super Laundry (on Pulaski Hwy/US 40)_Family Wash Day Super Laundry (on Pulaski Hwy/US 40)_39.513448_-76.161051,,Family Wash Day Super Laundry (on Pulaski Hwy/US 40),,39.513448,-76.161051,,0,,,
Aldi (Bel Air Plaza/599 Baltimore Pike)_Aldi (Bel Air Plaza/599 Baltimore Pike)_39.526101_-76.352477,,Aldi (Bel Air Plaza/599 Baltimore Pike),,39.526101,-76.352477,,0,,,
Ross (Bel Air Plaza/527 Baltimore Pike)_Ross (Bel Air Plaza/527 Baltimore Pike)_39.527677_-76.351827,,Ross (Bel Air Plaza/527 Baltimore Pike),,39.527677,-76.351827,,0,,,
Country Village (Idlewild Rd & Idlewild Ct)_Country Village (Idlewild Rd & Idlewild Ct)_39.530682_-76.339277,,Country Village (Idlewild Rd & Idlewild Ct),,39.530682,-76.339277,,0,,,
