service_id,date,exception_type
75,20200817,1
75,20200818,1
75,20200819,1
75,20200820,1
75,20200824,1
75,20200825,1
75,20200826,1
75,20200827,1
75,20200831,1
75,20200901,1
75,20200902,1
75,20200903,1
75,20200907,1
75,20200908,1
75,20200909,1
75,20200910,1
75,20200914,1
75,20200915,1
75,20200916,1
75,20200917,1
75,20200921,1
75,20200922,1
75,20200923,1
75,20200924,1
75,20200928,1
75,20200929,1
75,20200930,1
75,20201001,1
75,20201005,1
75,20201006,1
75,20201007,1
75,20201008,1
