route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id
RED,73,3238196_18359,"GLENMONT",0,,3,3238196
RED,73,3238142_18359,"GLENMONT",0,,3,3238142
RED,73,3238197_18359,"GLENMONT",0,,3,3238197
RED,73,3238143_18359,"GLENMONT",0,,3,3238143
RED,73,3238198_18359,"GLENMONT",0,,3,3238198
RED,73,3238144_18359,"GLENMONT",0,,3,3238144
RED,73,3238199_18359,"GLENMONT",0,,3,3238199
RED,73,3238145_18359,"GLENMONT",0,,3,3238145
RED,73,3238200_18359,"GLENMONT",0,,3,3238200
RED,73,3238146_18359,"GLENMONT",0,,3,3238146
RED,73,3238201_18359,"GLENMONT",0,,3,3238201
RED,73,3238147_18359,"GLENMONT",0,,3,3238147
RED,73,3238202_18359,"GLENMONT",0,,3,3238202
RED,73,3238148_18359,"GLENMONT",0,,3,3238148
RED,73,3238203_18359,"GLENMONT",0,,3,3238203
RED,73,3238149_18359,"GLENMONT",0,,3,3238149
RED,73,3238204_18359,"GLENMONT",0,,3,3238204
RED,73,3238150_18359,"GLENMONT",0,,3,3238150
RED,73,3238205_18359,"GLENMONT",0,,3,3238205
RED,73,3238151_18359,"GLENMONT",0,,3,3238151
RED,73,3238206_18359,"GLENMONT",0,,3,3238206
RED,73,3238152_18359,"GLENMONT",0,,3,3238152
RED,73,3238207_18359,"GLENMONT",0,,3,3238207
RED,73,3238153_18359,"GLENMONT",0,,3,3238153
RED,73,3238208_18359,"GLENMONT",0,,3,3238208
RED,73,3238154_18359,"GLENMONT",0,,3,3238154
RED,73,3238209_18359,"GLENMONT",0,,3,3238209
RED,73,3238155_18359,"GLENMONT",0,,3,3238155
RED,73,3238210_18359,"GLENMONT",0,,3,3238210
RED,73,3238156_18359,"GLENMONT",0,,3,3238156
RED,73,3238211_18359,"GLENMONT",0,,3,3238211
RED,73,3238157_18359,"GLENMONT",0,,3,3238157
RED,73,3238212_18359,"GLENMONT",0,,3,3238212
RED,73,3238158_18359,"GLENMONT",0,,3,3238158
RED,73,3238213_18359,"GLENMONT",0,,3,3238213
RED,73,3238159_18359,"GLENMONT",0,,3,3238159
RED,73,3238214_18359,"GLENMONT",0,,3,3238214
RED,73,3238160_18359,"GLENMONT",0,,3,3238160
RED,73,3238215_18359,"GLENMONT",0,,3,3238215
RED,73,3238161_18359,"GLENMONT",0,,3,3238161
RED,73,3238216_18359,"GLENMONT",0,,3,3238216
RED,73,3238162_18359,"GLENMONT",0,,3,3238162
RED,73,3238217_18359,"GLENMONT",0,,3,3238217
RED,73,3238163_18359,"GLENMONT",0,,3,3238163
RED,73,3238218_18359,"GLENMONT",0,,3,3238218
RED,73,3238164_18359,"GLENMONT",0,,3,3238164
RED,73,3238219_18359,"GLENMONT",0,,3,3238219
RED,73,3238165_18359,"GLENMONT",0,,3,3238165
RED,73,3238220_18359,"GLENMONT",0,,3,3238220
RED,73,3238166_18359,"GLENMONT",0,,3,3238166
RED,73,3238221_18359,"GLENMONT",0,,3,3238221
RED,73,3238167_18359,"GLENMONT",0,,3,3238167
RED,73,3238222_18359,"GLENMONT",0,,3,3238222
RED,73,3238168_18359,"GLENMONT",0,,3,3238168
RED,73,3238223_18359,"GLENMONT",0,,3,3238223
RED,73,3238169_18359,"GLENMONT",0,,3,3238169
RED,73,3238224_18359,"GLENMONT",0,,3,3238224
RED,73,3238170_18359,"GLENMONT",0,,3,3238170
RED,73,3238225_18359,"GLENMONT",0,,3,3238225
RED,73,3238171_18359,"GLENMONT",0,,3,3238171
RED,73,3238226_18359,"GLENMONT",0,,3,3238226
RED,73,3238172_18359,"GLENMONT",0,,3,3238172
RED,73,3238344_18359,"GLENMONT",0,,3,3238344
RED,73,3238173_18359,"GLENMONT",0,,3,3238173
RED,73,3238345_18359,"GLENMONT",0,,3,3238345
RED,73,3238175_18359,"GLENMONT",0,,3,3238175
RED,73,3238174_18359,"GLENMONT",0,,3,3238174
RED,73,3238176_18359,"GLENMONT",0,,3,3238176
RED,73,3238177_18359,"GLENMONT",0,,3,3238177
RED,73,3238178_18359,"GLENMONT",0,,3,3238178
RED,73,3238179_18359,"GLENMONT",0,,3,3238179
RED,73,3238180_18359,"GLENMONT",0,,3,3238180
RED,73,3238337_18359,"GLENMONT",0,,4,3238337
RED,73,3238338_18359,"GLENMONT",0,,4,3238338
RED,74,3239156_18359,"GLENMONT",0,,5,3239156
RED,74,3238879_18359,"GLENMONT",0,,5,3238879
RED,74,3239092_18359,"GLENMONT",0,,5,3239092
RED,74,3239107_18359,"GLENMONT",0,,5,3239107
RED,74,3238940_18359,"GLENMONT",0,,5,3238940
RED,74,3239108_18359,"GLENMONT",0,,5,3239108
RED,74,3238990_18359,"GLENMONT",0,,5,3238990
RED,74,3239006_18359,"GLENMONT",0,,5,3239006
RED,74,3239033_18359,"GLENMONT",0,,5,3239033
RED,74,3239032_18359,"GLENMONT",0,,5,3239032
RED,74,3239123_18359,"GLENMONT",0,,5,3239123
RED,74,3239066_18359,"GLENMONT",0,,5,3239066
RED,74,3239070_18359,"GLENMONT",0,,5,3239070
RED,74,3239130_18359,"GLENMONT",0,,5,3239130
RED,74,3239091_18359,"GLENMONT",0,,5,3239091
