stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
748,20748,CARROLL AVE & PHILADELPHIA AVE,,38.977577,-77.007553,,,,,,2
750,20750,CARROLL AVE & ETHAN ALLEN AVE,,38.978273,-77.005749,,,,,,2
752,20752,CARROLL AVE & BOYD AVE,,38.980385,-77.003998,,,,,,2
754,20754,CARROLL AVE & LINCOLN AVE,,38.981358,-77.00327,,,,,,2
756,20756,CARROLL AVE & OLD CARROLL AVE,,38.982254,-77.001287,,,,,,2
758,20758,CARROLL AVE & SLIGO CREEK PKWY,,38.983783,-76.999954,,,,,,2
760,20760,CARROLL AVE & FLOWER AVE,,38.985002,-76.998024,,,,,,2
764,20764,CARROLL AVE & ANNE ST,,38.987663,-76.994553,,,,,,2
772,20772,CARROLL AVE & PINEY BRANCH RD,,38.999157,-76.990914,,,,,,2
774,20774,CARROLL AVE & PINEY BRANCH RD,,38.999415,-76.990822,,,,,,2
776,20776,CARROLL AVE & TAKOMA ACADEMY DRWY,CARROLL AVE & MERRIMAC DR,38.992547,-76.993047,,,,,,2
778,20778,CARROLL AVE & CHESTER ST,,38.989727,-76.993636,,,,,,2
786,20786,CARROLL AVE & FLOWER AVE,CARROLL AVE & PRIVATE RD,38.985133,-76.998063,,,,,,2
788,20788,CARROLL AVE & ADVENTIST HOSP DRWY,,38.984033,-76.999907,,,,,,2
790,20790,CARROLL AVE & NIAGARA CT,,38.982262,-77.001701,,,,,,2
792,20792,CARROLL AVE & LINCOLN AVE,,38.981698,-77.003112,,,,,,2
794,20794,CARROLL AVE & SHERMAN AVE,,38.979893,-77.004616,,,,,,2
796,20796,CARROLL AVE & ETHAN ALLEN AVE,,38.978291,-77.005989,,,,,,2
798,20798,CARROLL AVE & PHILADELPHIA AVE,,38.97766,-77.007611,,,,,,2
800,20800,CARROLL AVE & PARK AVE,,38.97599,-77.009079,,,,,,2
802,20802,CARROLL AVE & TULIP AVE,,38.975258,-77.010201,,,,,,2
804,20804,CARROLL AVE & WILLOW AVE,,38.974796,-77.012939,,,,,,2
806,20806,CARROLL AVE & MAPLE AVE,,38.974994,-77.015418,,,,,,2
808,20808,CASHELL RD & CHIPPENDALE CT,,39.129419,-77.081606,,,,,,2
810,20810,CASHELL RD & MACDUFF AVE,,39.131787,-77.083695,,,,,,2
812,20812,CASHELL RD & CONTINENTAL DR,,39.134482,-77.085797,,,,,,2
814,20814,CASHELL RD & CHERRY VALLEY DR,,39.136878,-77.086613,,,,,,2
820,20820,CASHELL RD & CHERRY VALLEY DR,,39.13638,-77.086427,,,,,,2
822,20822,CASHELL RD & CONTINENTAL DR,,39.13447,-77.08592,,,,,,2
824,20824,CASHELL RD & MACDUFF AVE,,39.131951,-77.084007,,,,,,2
826,20826,CASHELL RD & CHIPPENDALE CT,,39.129245,-77.081578,,,,,,2
834,20834,CEDAR LN & ELMHIRST PKWY,CEDAR LA & ELMHIRST PKWY,39.007954,-77.094795,,,,,,2
836,20836,CEDAR LN & CHANUTE DR,,39.008831,-77.092419,,,,,,2
838,20838,CEDAR LN & PARKHILL DR,,39.010267,-77.091532,,,,,,2
840,20840,CEDAR LN & BEACH DR,,39.01277,-77.09065,,,,,,2
842,20842,CEDAR LN & DELMONT LN,,39.015044,-77.089004,,,,,,2
844,20844,CEDAR LN & SAUL RD,,39.016548,-77.087906,,,,,,2
846,20846,CEDAR LN & GLENROSE ST,CEDAR LA & GLENROSE ST,39.018573,-77.086844,,,,,,2
848,20848,CEDAR LN & FRANKLIN ST,,39.019527,-77.086273,,,,,,2
850,20850,CEDAR LN & EVERETT ST,CEDAR LA & EVERETT ST,39.020641,-77.085626,,,,,,2
852,20852,CEDAR LN & CLEARBROOK LN,,39.022556,-77.084167,,,,,,2
854,20854,CEDAR LN & SUMMIT AVE,,39.022949,-77.081457,,,,,,2
856,20856,CEDAR LN & DRESDEN ST,,39.022068,-77.084748,,,,,,2
858,20858,CEDAR LN & EVERETT ST,,39.020583,-77.085763,,,,,,2
860,20860,CEDAR LN & FRANKLIN ST,CEDAR LA & FRANKLIN ST,39.01991,-77.086172,,,,,,2
862,20862,CEDAR LN & GLENROSE ST,CEDAR LA & GLENROSE ST,39.018661,-77.086914,,,,,,2
